,timestamp,tSide_copTem01,eSide_copTem01,eSide_copTem02,eSide_copTem03,eSide_copTem04,tSide_outWin01,tSide_outWin02,eSide_outWin01,eSide_outWin02,AB_Vol,BC_Vol,AC_Vol,pwrNeg,freq,hydPres,pwrPos01,pwrPos02,pwrPos03
36,2022-01-18 01:33:20,74.5846,52.4714,64.7082,56.6995,52.6223,38.733,40.123,39.7439,38.0382,27.0705,27.0137,27.0483,32.2405,49.9974,0.461569,662.6,661.316,661.209
37,2022-01-18 01:33:40,74.5846,52.4714,64.7082,56.6995,52.6223,38.2277,39.5543,39.1752,37.3436,27.1299,27.031,27.0804,29.4575,50.005,0.461188,660.566,658.425,658.747
38,2022-01-18 01:34:00,74.2821,52.4714,64.7082,56.6995,52.6223,37.9751,39.3648,38.9225,37.1542,27.1274,27.0557,27.0483,30.0997,50.0386,0.460959,660.566,659.496,659.817
39,2022-01-18 01:34:20,74.2821,52.3204,64.7082,56.6995,52.4714,38.1014,39.6175,39.112,37.2805,27.0359,27.0384,27.0829,32.0264,50.0272,0.46134,658.961,657.141,657.89
40,2022-01-18 01:34:40,74.4333,52.4714,64.7082,56.6995,52.6223,38.5435,39.9966,39.5543,37.7856,27.0582,27.0211,27.073,29.2434,49.9921,0.461722,659.175,659.068,658.64
41,2022-01-18 01:35:00,74.4333,52.4714,64.7082,56.6995,52.6223,38.4172,39.6807,39.4279,37.8488,27.0829,27.0236,27.0532,30.742,49.9768,0.460501,660.245,658.318,657.676
42,2022-01-18 01:35:30,74.2821,52.4714,64.5571,56.6995,52.6223,37.9751,39.3648,38.9225,37.2805,27.0705,27.0508,27.0656,32.6686,49.9776,0.46073,659.71,656.82,657.783
43,2022-01-18 01:35:50,74.2821,52.3204,64.7082,56.6995,52.6223,37.8488,39.2384,38.8594,37.0911,27.0779,27.0137,27.0483,30.9561,50.0035,0.461417,660.031,658.425,658.533
44,2022-01-18 01:36:10,74.1308,52.3204,64.5571,56.6995,52.6223,38.1014,39.4911,39.0489,37.2173,27.0779,27.1002,27.0409,33.7391,50.0096,0.461264,659.496,657.355,657.783
45,2022-01-18 01:36:20,74.4333,52.4714,64.5571,56.6995,52.4714,38.5435,39.9334,39.4911,37.7856,27.0952,27.026,27.0903,31.17,49.9623,0.461722,659.068,657.997,657.676
46,2022-01-18 01:36:40,74.2821,52.4714,64.5571,56.6995,52.6223,38.2909,39.5543,39.3016,37.533,27.0532,27.031,27.0458,31.8124,49.9692,0.460577,660.566,657.569,658.425
47,2022-01-18 01:37:00,74.2821,52.3204,64.5571,56.6995,52.6223,37.9751,39.3016,38.9857,37.1542,27.1126,27.0409,27.0532,32.0264,50.0119,0.460883,659.389,658.425,659.389
48,2022-01-18 01:37:20,74.1308,52.3204,64.5571,56.6995,52.6223,37.9751,39.3648,38.9857,37.1542,27.1076,27.031,27.0532,31.17,50.0348,0.46073,661.102,657.783,659.282
49,2022-01-18 01:37:50,74.2821,52.4714,64.5571,56.6995,52.6223,38.4172,39.8071,39.3648,37.6593,27.0508,27.0335,27.0606,33.311,50.0127,0.461417,659.603,659.603,657.355
50,2022-01-18 01:38:10,74.4333,52.4714,64.5571,56.6995,52.6223,38.6698,40.0598,39.6807,37.9751,27.0532,27.0236,27.0606,32.8827,50.0638,0.461264,660.031,656.392,657.997
51,2022-01-18 01:38:30,74.2821,52.4714,64.5571,56.6995,52.6223,38.1014,39.4279,39.112,37.3436,27.0582,27.0631,27.0285,32.4546,50.0508,0.461188,657.676,655.857,655.749
52,2022-01-18 01:38:50,74.1308,52.4714,64.5571,56.6995,52.4714,37.9119,39.3016,38.9225,37.1542,27.1076,27.0137,27.0606,32.0264,49.9974,0.460501,659.496,658.318,658.211
53,2022-01-18 01:39:00,74.2821,52.3204,64.5571,56.5485,52.6223,38.2277,39.5543,39.1752,37.3436,27.0977,27.0384,27.0928,30.5278,50.0432,0.460959,660.566,658.64,658.318
54,2022-01-18 01:39:30,74.2821,52.3204,64.5571,56.5485,52.6223,38.4804,39.9334,39.4911,37.8488,27.0903,27.0186,27.0804,33.525,50.0562,0.461493,662.279,658.961,660.459
55,2022-01-18 01:39:40,74.2821,52.4714,64.5571,56.6995,52.6223,38.354,39.7439,39.3648,37.7225,27.0928,26.9988,27.0606,31.17,50.0172,0.460654,660.031,656.82,658.104
56,2022-01-18 01:40:10,74.2821,52.4714,64.5571,56.6995,52.6223,38.0382,39.4279,38.9857,37.2173,27.0928,27.0211,27.0285,33.0969,50.0134,0.460654,658.533,657.355,657.997
57,2022-01-18 01:40:30,74.1308,52.3204,64.5571,56.6995,52.4714,37.9751,39.3648,38.9225,37.1542,27.1002,27.026,27.0705,28.1729,50.0081,0.460577,658.854,656.713,657.248
58,2022-01-18 01:41:10,74.2821,52.4714,64.5571,56.5485,52.4714,38.5435,39.9334,39.4911,37.7856,27.073,26.9964,27.0112,29.0293,50.063,0.461264,659.175,656.82,658.211
59,2022-01-18 01:41:40,74.2821,52.4714,64.5571,56.5485,52.4714,38.6067,39.9334,39.5543,37.9119,27.0582,27.0236,27.0335,26.6744,50.0203,0.460501,657.355,656.82,657.141
60,2022-01-18 01:42:00,74.2821,52.4714,64.5571,56.6995,52.6223,38.4172,39.6807,39.3016,37.6593,27.0582,26.9964,27.0532,30.3139,50.0188,0.460959,658.425,656.392,657.034
61,2022-01-18 01:42:30,74.2821,52.4714,64.5571,56.6995,52.6223,38.4172,39.6807,39.3016,37.6593,27.0582,26.9964,27.0532,30.3139,50.0188,0.460959,658.425,656.392,657.034
62,2022-01-18 01:42:50,74.2821,52.4714,64.5571,56.6995,52.4714,38.2909,39.5543,39.112,37.4699,27.0557,27.0532,27.0606,31.3842,50.0012,0.46012,657.355,657.248,656.82
63,2022-01-18 01:43:10,74.2821,52.3204,64.5571,56.6995,52.6223,37.9751,39.3648,38.9225,37.1542,27.0409,26.9988,27.0211,27.959,49.9554,0.461493,657.569,655.642,656.499
64,2022-01-18 01:43:30,74.4333,52.3204,64.5571,56.6995,52.6223,38.0382,39.5543,39.0489,37.2173,27.0854,26.9988,27.0483,24.1055,49.9661,0.461111,658.211,657.89,656.927
65,2022-01-18 01:43:50,74.5846,52.4714,64.7082,56.6995,52.6223,38.4804,39.9966,39.4911,37.7225,27.0804,26.9815,27.0335,25.818,50.0096,0.462637,657.569,656.82,656.927
66,2022-01-18 01:44:10,74.5846,52.4714,64.7082,56.6995,52.6223,38.5435,39.9966,39.5543,37.8488,27.0186,27.0211,27.0236,24.5336,50.0058,0.460425,657.676,656.178,657.248
67,2022-01-18 01:44:30,74.4333,52.3204,64.5571,56.6995,52.6223,38.1646,39.4911,39.0489,37.3436,27.0211,27.0013,27.0532,25.1758,50.015,0.460501,656.071,654.679,655.964
68,2022-01-18 01:44:50,74.2821,52.3204,64.7082,56.6995,52.4714,38.1014,39.4279,38.9857,37.2173,27.0409,27.0063,27.0137,28.1729,50.034,0.461035,657.676,654.786,655.857
69,2022-01-18 01:45:10,74.4333,52.4714,64.5571,56.6995,52.4714,38.4172,39.7439,39.3648,37.5962,27.0557,26.9865,27.0285,22.8209,50.0119,0.460501,656.071,652.859,654.037
70,2022-01-18 01:45:40,74.5846,52.4714,64.7082,56.6995,52.6223,38.733,39.9966,39.6807,37.9119,27.0779,27.0508,27.0285,25.1758,49.9524,0.460883,656.178,654.358,656.499
71,2022-01-18 01:46:00,74.5846,52.4714,64.7082,56.6995,52.6223,38.2277,39.5543,39.1752,37.4067,27.026,26.9939,27.0137,22.8209,49.9745,0.461264,657.462,654.251,655.428
72,2022-01-18 01:46:10,74.2821,52.3204,64.5571,56.6995,52.6223,37.9751,39.3648,38.8594,37.1542,27.0384,26.9988,27.0532,28.6012,50.0073,0.461111,657.355,655.321,655.749
73,2022-01-18 01:46:30,74.2821,52.3204,64.5571,56.6995,52.6223,38.0382,39.4279,38.9857,37.1542,27.0804,27.031,27.0977,27.959,50.0317,0.460959,655.964,654.786,656.499
74,2022-01-18 01:47:00,74.2821,52.3204,64.5571,56.6995,52.4714,38.4804,39.8702,39.4279,37.6593,27.0508,27.0384,27.0779,27.3166,50.0607,0.460806,657.034,655.535,655.857
75,2022-01-18 01:47:20,74.2821,52.4714,64.5571,56.6995,52.4714,38.6067,39.8702,39.4279,37.8488,27.0903,27.0335,27.0557,31.17,50.0356,0.461646,657.034,655.428,656.499
76,2022-01-18 01:47:30,74.1308,52.4714,64.5571,56.6995,52.4714,37.9751,39.3648,38.9225,37.2173,27.0878,27.0087,27.0359,31.3842,50.0424,0.460425,657.034,655.642,655.428
77,2022-01-18 01:47:50,73.9795,52.3204,64.5571,56.6995,52.4714,37.9119,39.3016,38.8594,37.0911,27.073,27.0236,27.0557,32.2405,50.015,0.461493,657.462,654.465,655.857
78,2022-01-18 01:48:10,74.1308,52.3204,64.5571,56.6995,52.4714,38.1014,39.6175,39.0489,37.2805,27.1126,27.0508,27.0557,30.9561,49.9928,0.460654,657.248,652.752,654.893
79,2022-01-18 01:48:30,74.2821,52.4714,64.5571,56.5485,52.6223,38.5435,39.9966,39.4911,37.7856,27.0854,27.0458,27.0532,31.3842,50.0073,0.460425,657.676,657.462,658.104
80,2022-01-18 01:48:50,74.2821,52.4714,64.5571,56.5485,52.4714,38.354,39.4911,39.3016,37.533,27.0952,27.0335,27.0903,28.8153,50.0104,0.460501,657.034,654.679,654.679
81,2022-01-18 01:49:10,74.1308,52.3204,64.5571,56.6995,52.4714,37.9119,39.2384,38.7962,37.0911,27.0755,27.0211,27.0779,28.1729,50.0104,0.459967,657.676,655.0,655.214
82,2022-01-18 01:49:30,74.1308,52.3204,64.4059,56.6995,52.4714,37.9119,39.3016,38.7962,37.0279,27.1101,27.0359,27.0681,28.8153,50.0478,0.461035,656.178,655.428,654.144
83,2022-01-18 01:49:50,74.2821,52.3204,64.4059,56.5485,52.4714,38.2909,39.6807,39.1752,37.4067,27.1076,27.0409,27.073,28.1729,50.0516,0.460348,655.642,653.395,655.214
84,2022-01-18 01:50:20,74.2821,52.4714,64.5571,56.5485,52.4714,38.6067,39.9966,39.5543,37.8488,27.073,27.0285,27.0532,28.3871,50.0455,0.460577,656.392,654.572,655.214
85,2022-01-18 01:50:40,74.1308,52.3204,64.5571,56.6995,52.4714,38.0382,39.4911,39.0489,37.3436,27.0755,27.0681,27.073,29.6715,50.0333,0.46012,657.355,655.642,655.107
86,2022-01-18 01:50:50,74.1308,52.3204,64.4059,56.6995,52.4714,37.8488,39.2384,38.7962,37.0279,27.0829,27.0161,27.0681,32.2405,49.9959,0.460043,656.285,654.572,655.214
87,2022-01-18 01:51:10,74.1308,52.1694,64.4059,56.6995,52.4714,38.0382,39.3648,38.9857,37.2173,27.0878,27.0335,27.0532,29.8856,50.0333,0.460348,655.964,655.107,655.321
88,2022-01-18 01:51:30,74.2821,52.3204,64.5571,56.5485,52.4714,38.4804,39.8071,39.4279,37.7225,27.0977,27.0409,27.0508,28.6012,50.0737,0.460959,656.392,655.214,655.535
89,2022-01-18 01:51:50,74.2821,52.3204,64.5571,56.5485,52.4714,38.354,39.6175,39.3016,37.5962,27.0656,27.0755,27.073,27.959,50.0424,0.460654,656.071,653.93,655.107
90,2022-01-18 01:52:10,74.1308,52.3204,64.4059,56.6995,52.4714,37.9119,39.2384,38.8594,37.0911,27.0705,27.0285,27.0409,26.0322,49.9989,0.460425,654.893,652.431,653.073
91,2022-01-18 01:52:40,73.9795,52.1694,64.4059,56.5485,52.4714,37.7856,39.1752,38.733,36.9648,27.0705,27.0384,27.0433,29.8856,49.9753,0.460806,654.572,651.575,653.073
92,2022-01-18 01:53:00,74.1308,52.3204,64.4059,56.6995,52.3204,38.0382,39.3648,38.9857,37.2173,27.0606,27.0433,27.0409,25.818,49.9722,0.461264,655.964,652.324,653.502
93,2022-01-18 01:53:20,74.2821,52.3204,64.5571,56.5485,52.3204,38.4804,39.8702,39.4279,37.7856,27.0977,27.0161,27.0335,29.6715,49.9783,0.460196,658.747,655.0,656.392
94,2022-01-18 01:53:30,74.1308,52.3204,64.5571,56.6995,52.4714,38.1646,39.4911,39.0489,37.3436,27.0854,27.0236,27.0755,29.2434,50.0142,0.460272,657.355,655.214,655.857
